"","Participant.Nr.","Time","Location","Date.Time","Age","Gender","Student..Y.N.","English.Proficiency","Ground.Truth.1","Ground.Truth.2","OrderOfLie","Veractity.Accuracy","Veracity.Coding","Judgement.By","Frequency.of.Lie","Confidence.of.Deception","Saturday","Sunday","NOTES","Transcriptions","Sat_Veracity","Sat_Person_NU","Sat_Location_NU","Sat_Time_NU","Sat_Facility_NU","Sat_GPE_NU","Sat_Product_NU","Sat_Date_NU","Sat_Money_NU","Sun_Veracity","Sun_Person_NU","Sun_Location_NU","Sun_Time_NU","Sun_Facility_NU","Sun_GPE_NU","Sun_Product_NU","Sun_Date_NU","Sun_Money_NU","Total_Sat","Total_Sun","Total_Truth","Total_Lie","Predictive_Accuracy"
"1","1","Past","UvA Library","09-12",22,"Male","Yes","4","sleeping all day","I was at home. Bought a charger for his laptop and watched a tv-series",1,"Accurate","1","Sally",NA,NA,"So on Saturday I woke up really late and I slept for the whole day. And I ordered some food from 'Thuisbezorgd'. And then I went to bed again. ","And on Sunday I hung out with friends and drank some coffee with them and I studied a bit and then I watched some tv at night and then I went to bed again."," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,1,0,0,0,1,0,1,2,1,2,"Correct"
"2","2","Past","UvA Library","09-12",19,"Female","Yes","5","Studied all day","studied all day",1,"Mistaken","0","Sally",4,5,"On Saturday I went to the library and I studied for pretty much the whole day took some little breaks, and spent the whole day there.","On Sunday I went out during the day with some of my friends and we went just walking around and then I spent most of the day just hanging out."," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,3,0,1,3,1,3,"Correct"
"3","3","Past","UvA Library","09-12",25,"Female","Yes","5","spent the day hungover in bed. watched series. dinner with friend","early morning study at the library",2,"Accurate","1","Sally",9,4,"On Saturday I did not do anything on Friday so I woke up quite early and I went to yoga in the morning. And then I did not do much in the afternoon. And that is it, that is what I did on Saturday","On Sunday I had a big study session so I woke up early again, did not go to yoga but I did go to the library. And I studied all day."," ","Done","Lie",0,0,2,0,0,0,3,0,"Truth",0,0,0,0,0,0,1,0,5,1,1,5,"Correct"
"4","4","Past","UvA Library","09-12",23,"Male","Yes","5","at home","brussels",1,"Accurate","1","Sally",2,2,"On Saturday I was at home, I was with my mother and just wanted a relax one for a change. ","Sunday I went to the football match. I'm a big Ajax fan so I decided to check that out. ","judgement based on lack of detail","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,1,0,1,0,1,2,1,2,"Correct"
"5","5","Past","UvA Library","09-12",21,"Male","Yes","4","went to leiden and a friend with a broken leg went there","at grandma's place & lunch with family",2,NA,"0","Sally",8,NA,"On Saturday I had a football match, and we won two to one, and after that I ate with my friends in the cafetaria, and after that I went out with my friends in the city of where I live. ","Sunday I was of course a little bit of headace of the day before. And I watched tv the whole day yeah with my parents. and after that I had gourmetten with my parents","LIE_LIE","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,0,0,2,0,1,2,2,1,"Mistaken"
"6","6","Past","UvA Library","09-12",22,"Female","Yes","3","I went to gent","I studied",2,"Accurate","1","Sally",5,8,"First, I went shopping, in Amsterdam and later on the day I went to the cinema.","On Sunday I actually studied the whole day and in the evening I ate with my friends.","Adding of fact (shopping in Amsterdam) felt suspicious","Done","Lie",0,0,0,0,1,0,1,0,"Truth",0,0,0,0,0,0,1,0,2,1,1,2,"Correct"
"7","7","Past","UvA Library","09-12",23,"Female","Yes","5","At my parents","Still with parents",1,NA,"0","Sally",8,8,"On Saturday I went to my parents. I went with my brother and sister as well, we went out for dinner and we had to pack our stuff because our parents were moving","Sunday I went back to Amsterdam and I went to the library to study and yeah had dinner with a friend in the evening","Veracity Judgement based on frequency of lies question and thus plausibility of the story","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,1,0,1,0,1,0,1,3,1,3,"Correct"
"8","8","Past","UvA Library","09-12",25,"Male","No","3","Student fair (company) presentation for students career fairs","snow at home",2,"Accurate","1","Sally",8,3,"On saturday I tried to get to the city the first time to get some christmas presents, it is quite busy in Frankfurt and a lot of people are there so I tried to be early this year. Because in the last week before christmas it is quite late so I had a nice saturday in the city, some shopping, some christmas shopping, and the chrismas market as well."," On sunday we had a lot of snow so  I did not really do anything, just relax and enjoy sunday"," ","Done","Lie",0,0,0,0,1,0,4,0,"Truth",0,0,0,0,0,0,2,0,5,2,2,5,"Correct"
"9","9","Past","UvA Library","09-12",24,"Male","Yes","4","I worked","I worked",1,"Accurate","1","Sally",8,7,"On Saturyday I worked all day because it is busy christmas season now so yeah I needed to put a lot of new effort into our marketing campaigns.","On Sunday I went to the Thuishaven, to the festival, you know it? Here in Amsterdam. It is like there was winter circus and circus tent and electronic music festival.","Lied by using an event that is going to happen in the future","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,0,0,2,0,2,0,2,4,2,4,"Correct"
"10","10","Past","UvA Library","09-12",24,"Female","Yes","3","Helping my parents move house","same",2,"Accurate","1","Sally",9,8,"Saturday I went go sporting because I row a lot, not rowing because it was too cold but I went for a run."," Sunday I helped moving my parents, and they went from a farmer, farm so in the middle of Groningen up in the North to a city center house.","Guess","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,1,0,0,0,0,2,0,1,3,3,1,"Mistaken"
"11","11","Past","UvA Library","09-12",24,"Female","Yes","4","Studied, coffee with my sister","studying all day at the UvA",2,"Mistaken","0","Sally",10,8,"Saturday I went to meet my sister, and I went for a running, and then I did some studying."," On Sunday I was here with my roommate studying all day.","Guess","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
